Gene,placenta_1,placenta_2,Uterus_D14_1,Uterus_D14_2,Uterus_D14_3,placenta_term_1,placenta_term_2,placenta_term_3,placenta_term_4,PTR2_1,PTR2_2,PTR2_3,sTO01_1,sTO01_2,sTO02_1,sTO02_2,sTO02_3,sTO03_1,sTO03_2,sTO03_3
ENSSSCG00000048769,1.551478173,1.223470946,2.616615726,2.756967037,2.398782034,1.15194535,1.171588878,1.531656871,1.274572712,1.524951579,1.445084949,1.637231095,1.932628312,1.97064561,1.781207343,1.89317237,1.959875586,2.07663292,2.152224695,1.834660839
ENSSSCG00000037372,2.066982383,1.912634173,3.575414826,2.803493709,3.354344151,1.28432055,1.37898521,1.34543415,1.281562654,0.836651284,0.628282881,0.838933896,2.699220526,2.426483602,3.691400004,4.196803517,3.810281425,3.83964573,3.91826121,3.553020873
PSMB1,56.28035362,59.33613087,58.06541339,65.6286769,58.50765768,43.1454876,34.75083224,42.52151562,44.49689222,134.2007559,142.8434981,142.2068604,54.01637533,56.90410577,81.30115516,82.6086815,86.83920736,93.8174013,87.56676975,88.85946465
FAM120B,2.49073797,1.573600466,6.151375242,5.948766339,6.371769747,2.14032213,2.823616811,2.504445509,2.637014276,0.811795376,0.938475303,0.991808478,4.078562807,4.077533192,3.87033227,3.710307412,3.563534041,4.35857232,3.705868444,3.94048811
ENSSSCG00000049216,0.028049747,0.047988248,0.058870638,0.080368984,0.071335048,0.0476033,0.073820981,0.029785697,0.045217377,0.035646271,0.025334521,0.042285866,0.128631254,0.119114608,0.057249966,0.066027253,0.058360754,0.05460977,0.032959792,0.078045909
DLL1,0.435046078,0.192717512,3.792044118,6.35581685,3.038987486,0.73020453,1.011123734,0.618710257,0.685899186,0.014808929,0.037422234,0.051530717,2.904873991,1.988830251,2.904818354,2.560174368,2.540000597,2.84810931,2.584399544,2.42527661
ENSSSCG00000053918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERMARD,2.249650082,2.010209571,10.49761525,8.915594719,9.547583125,1.97167897,1.989958894,2.102884705,2.141342758,1.409320686,1.470650913,1.536487233,2.319257269,2.458792007,2.687398039,3.063830627,2.754713241,3.44027087,3.254320882,3.408902254
DYNLT2,0.036116755,0,0.135360042,0.417911379,0.31312757,0.01178728,0.010801322,0.023969974,0.022392975,0,0,0,0.015925495,0.013693888,0,0,0,0,0.023577173,0.037684363
PHF10,2.336478667,2.44487843,7.242670082,8.523089379,8.073899666,1.92199908,2.174760246,1.827087126,2.540955885,1.710230622,1.855765794,1.754878468,2.732663181,2.627667042,2.861840055,2.880579123,2.7698478,3.27146637,2.800394328,3.036137536
C6orf120,11.59996781,10.96823756,11.64868751,16.88155476,15.03215088,10.561754,6.422743072,9.079852203,10.3606928,8.078879026,7.748446855,8.9664243,27.27970862,33.49541066,32.32162073,31.28868474,33.73750256,22.8678627,29.38969467,23.71008804
WDR27,0.039432007,0,1.852239918,3.708119973,2.157581961,0.06005656,0.055033085,0.017446828,0.073345455,0,9.89E-03,0.029722488,0.034774676,0.019934515,0.035769482,0.054600201,0.04883504,0.08858051,0.034321845,0.109716028
THBS2,1.222236134,1.130749294,2.764384902,2.471302532,3.99293248,2.29972345,2.76849422,1.950344156,4.293137187,0,0,0,0,0,0.025307564,0.014716436,3.95E-03,0,0,0
ssc-mir-9815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMOC2,0.158732686,0.214004296,18.34378781,10.81494473,10.86593148,0.5360685,0.598555896,0.306882533,3.286266773,0,0,0,0,0,0,0,0,0,0,0
DACT2,0.167722352,0.056633651,2.501156703,7.607295327,6.561447269,0.01728596,0.010560039,0.041010421,0.07662464,0,0,0,0,6.69E-03,0,0,0,0,0,0
U2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRMD1,0,0.010431559,4.738599636,3.064039024,3.315598306,0.02547171,0.035011659,0.019424209,0.042341317,0,0.014685737,0,0,0,0,0,0,0,0,0
ENSSSCG00000049642,0,0.018927302,0.053073106,0.058520791,0.08184913,0.01155414,0,0.011747937,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000004016,0.041696973,0.167194411,0.312547682,0.597357135,0.337406846,0.15649742,0.492572097,0.394346714,0.310233603,0,0.015691954,7.86E-03,9.19E-03,7.91E-03,0,0,7.75E-03,0,0,7.25E-03
ENSSSCG00000054333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDN,25.16453009,25.73197097,41.56253883,36.55912498,50.04832515,11.9867638,20.0461487,13.23023497,16.61046835,8.321295829,9.569295299,9.295292175,24.648169,23.77917471,28.10656392,27.53232414,26.58830154,29.6794605,27.47340893,27.79815829
ssc-mir-9824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000047676,0.057477079,0.2335416,2.309251521,3.141684334,3.136086371,0.09004109,0.151267472,0.122068472,0.049891412,0.100434413,0.173044253,0.225286056,0.030413062,0.034868457,0.187698565,0.111421265,0.153755657,0.14633278,0.097555339,0.167921065
ENSSSCG00000047753,0.072754967,0.125667957,1.182987514,1.258159327,1.759703608,0.13516238,0.076991949,0.189429804,0.079808693,0.195585722,0.214828536,0.18561294,0.207292121,0.190976468,0.178954316,0.182109463,0.178822294,0.09638626,0.080375739,0.093431159
UNC93A,18.15984298,4.81383913,57.54395845,44.42542745,31.93627771,5.52040457,6.811462281,8.011371613,4.716520248,1.15172676,0.971409475,1.127336111,1.493034997,2.429469289,1.296431756,0.956616051,0.885695581,0.28424245,0.183373107,0.279890387
ENSSSCG00000022580,0,0,0.089443793,0.02191661,0.114949881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000032403,0,0,0.043258733,0.095398046,0.200140334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR31,0.030791708,0.059264176,3.702114955,4.764167972,3.424208302,0.18088855,0.044202131,0.028610184,0.118366426,0,0,0,0,0,0,0,0,0,0,0
CCR6,0.026903948,0,0.282329212,0.266836178,0.18660299,0,0,0.017855617,0.03336177,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000034196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP43,2.41849645,2.03789404,6.463135033,5.533210272,5.591480012,0.96948452,1.147832904,0.846171132,1.621749511,0.125277781,0.089037435,0.069352473,4.265693635,4.056673819,3.952527734,3.603613283,4.160745403,4.27154882,4.66777095,4.269782093
ENSSSCG00000043814,0,0,0.127064998,0.042456841,0.115794031,0.01005903,4.61E-03,0.046024899,9.56E-03,0,0,0,0.040771525,0.081802689,0.010484471,0.026673307,5.73E-03,0.01153957,0,0.016079552
ENSSSCG00000004024,27.66916157,37.19974421,19.33330974,36.47865715,25.57617054,18.2507128,17.87220284,6.329682962,14.76452804,6.322791267,6.230280225,6.278132798,17.71331201,13.62618979,18.10150082,20.18855639,19.56064077,23.1056978,22.58797377,22.9661482
RPS6KA2,0.212716587,0.333241756,5.940283475,3.45627538,5.747120302,0.32289975,0.440876907,0.213405248,0.515282329,0.011787436,7.45E-03,7.46E-03,0,0,3.37E-03,0,0,0,0,0
ENSSSCG00000048885,0.075057636,0,0.067513075,0.066171511,0.104118393,0.03919401,0.152641274,0.059777117,9.31E-03,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000032916,5.960742502,3.968234736,7.968934263,15.31971909,15.61220816,2.40108259,2.568984172,3.370751411,3.713476562,3.622145193,3.881086801,3.862135529,1.879456244,1.696586913,2.113767361,2.411081543,2.366333869,2.71474151,2.443992377,2.649661216
ENSSSCG00000062746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFT2D1,60.42087291,55.78021675,33.20150373,45.66051945,39.83522787,28.3965234,21.78487358,32.28982916,29.45608348,7.486291417,8.05787459,8.049108825,40.64807874,39.64135373,56.91546591,55.44828854,58.09533521,57.5231387,59.1645084,56.01329009
ENSSSCG00000062461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBXT,0.172888441,0.26889283,0,0.034640923,0.036337463,0.22569958,0.159816045,0.031293444,0.107193642,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000036448,0,0,0,0,0.018601091,0,0,0.010679378,0,0,0,0,0,0,0,0,0.011956966,0,0,0
ENSSSCG00000053394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000042499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDE10A,0.214284265,0.418749325,0.996957279,0.863146134,1.20437775,1.69773441,1.847424715,1.044553592,2.25861533,0,0,0,0,0,0,0,0,0,9.65E-03,0
ssc-mir-9831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000051306,0,0,0.055158808,0.054062738,0.056710461,8.01E-03,0.011003765,4.07E-03,0,9.74E-03,0,4.62E-03,0,0,0,0,0,0,0,0
U6_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000059287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000061338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QKI,6.734001436,6.408803597,5.916503984,10.40492964,8.90959637,17.0159458,13.76484807,13.48793158,14.03251643,8.443397818,8.143275354,9.135655475,8.727181912,8.783674694,8.861788552,8.654532386,9.120085726,7.3770338,9.386958959,7.421248969
ENSSSCG00000052194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000054024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000050646,0.015240854,0.03259307,0.091392605,0.109171392,0.105708982,0.05471505,0.063812467,5.06E-03,0.070871829,6.05E-03,0,0,0,0.011557326,0,0,0,0,0,0
ENSSSCG00000058194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000053277,0,0.021398246,0.037501097,0.082700789,0.09831787,0.05225008,0.011969896,9.96E-03,0.040325395,0,3.77E-03,0,0,0,0,0,0,0,0,0
PACRG,0.020636396,0.022065807,0.232026115,0.454830967,0.357829742,0.03367508,0.037029964,0.02054395,0.083166854,8.20E-03,0,0,9.10E-03,0,7.02E-03,0,0,0,6.74E-03,7.18E-03
ENSSSCG00000047165,5.92E-03,0,0,6.52E-03,6.84E-03,0.01544745,7.08E-03,0.023559832,3.67E-03,0,0,0,0,0,0,0,0,0,0,0
PRKN,1.454510787,0.398146477,0.889649347,1.051494405,0.901224652,0.5164766,1.712143746,1.22789971,0.591594127,0.018484262,8.76E-03,0,0.071832203,0.088237863,0.530403964,0.620316053,0.691720795,0,0,0
SNORA70_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000059587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000053549,0,0,0,0,0.25351109,0,0.032793202,0,0,0,0,0,0,0,0,0.037957798,0,0,0,0
AGPAT4,1.294824071,1.835283373,7.425914862,6.587020274,6.021985961,1.49379398,1.765088834,0.699470161,1.18554789,0.023917043,0.045328861,0.022697529,0.106222498,0.137006638,0.962864538,0.854754759,1.17472314,0.41714021,0.324346532,0.282772569
ENSSSCG00000063447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K4,8.798943534,4.889678393,8.990885691,7.981977053,7.534389867,4.86503658,5.033436478,5.68968047,5.484818502,1.999750283,2.005790345,2.250399856,2.716357357,2.610744825,3.043194165,3.133239482,3.159784834,3.48719965,3.009245892,3.382034313
ENSSSCG00000004038,0,0.013242178,0.194941599,0.238834851,0.200425434,0.04446015,3.70E-03,8.22E-03,3.84E-03,0,0,0,0,0,0,0,0,0,0,0
SLC22A3,2.684855794,11.00914505,0.809828932,0.639728071,0.512614335,10.3570632,11.65123184,4.114924865,9.293069572,0,0,0,0,0,0,0,0,6.04E-03,0,0
ENSSSCG00000018769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC22A2,0,0.010929134,0.199197966,0.214012713,0.129970205,0.04670169,0.128385882,0.0271343,0.114071031,0,0,0,0,0,0,0,0,0,0,0
SLC22A1,0.024778799,0.119228132,0.018573426,0.027306525,0.014321932,0.28304345,0.163031351,0.049335593,0.184359098,0,0,0,0,9.40E-03,0,0,9.21E-03,0,0.016175707,0
IGF2R,7.081853917,17.08835839,22.57308345,18.4887238,22.60643628,6.33289567,15.39848549,7.307514639,13.1558663,3.163317204,3.248928388,3.07827979,68.72036295,67.96698656,36.08495725,36.66980701,35.59362696,32.5902238,30.58927799,32.41410669
MAS1,0.062225697,0,0.139927405,0.034286721,0.071931828,0.02030835,0.093048196,0.02064898,0.154323771,0,0,0,0,0,0,0,0,0,0,0
PNLDC1,0.013093101,0,0.039256742,0.028857498,0.030270795,0,7.83E-03,8.69E-03,0.01623587,0,0,0,0,0,0,0.027194377,0,9.80E-03,8.55E-03,0
MRPL18,10.14828005,10.00566672,9.039295235,8.968604244,7.008270832,3.04321734,3.340485667,3.761222392,4.37178271,1.373935062,1.388776164,1.378386429,8.063413386,7.770521468,10.41243901,11.05225433,11.65420334,13.5574321,12.02365595,12.35354756
TCP1,24.50985148,18.98540705,14.28184468,13.98806332,14.11542443,15.9939253,14.98125,20.26685894,17.80860303,6.131094996,6.234487277,6.689197102,34.53483361,30.2159705,36.87730327,39.90794512,41.19193087,47.6457267,45.37881774,44.34093769
SNORA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAT2,25.3024153,20.65058776,4.051072934,4.589696268,4.017431258,13.1607292,14.61350356,21.81711997,20.5026671,4.09348759,3.596029101,4.257490767,26.90816277,23.10060794,28.44395289,27.98590449,28.97616867,37.846151,35.99483878,35.34134534
ENSSSCG00000018605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WTAP,11.93767267,10.3202774,12.00697054,14.14444579,13.5452795,11.7489381,10.42183295,11.44029351,11.67975242,8.23762123,6.888564795,8.168584428,11.56554713,11.28671278,13.35753522,13.66338133,13.85325346,13.8459003,14.81768553,13.97524698
SOD2,7.188395599,7.062552495,24.40205878,23.9517236,28.84452938,7.86110113,7.372386411,5.932271999,13.10241741,8.071003637,7.095921993,7.460889871,12.71193277,11.08760318,15.23493457,15.25600645,16.52798823,16.9794519,18.63533453,16.16578371
FNDC1,0.013992198,0.049871294,51.93018298,38.49751282,34.62472257,0.02131069,0.086481766,0.024763584,0.01735078,0,3.51E-03,3.52E-03,0.090490204,0.137935905,0.012692574,6.46E-03,0.010397282,0.05238705,0.042626111,0.038932036
ENSSSCG00000058272,0.020194701,5.40E-03,0.02270599,0.022254795,0.029180906,6.59E-03,0.015098911,0.036857762,9.39E-03,8.02E-03,7.60E-03,0,0.017809496,0.01914236,0.020608848,0.017476836,0.030012442,0.01890233,0.013183188,0.024583102
TAGAP,0.512622705,0.703570226,5.310626782,8.735121927,6.925260661,0.77908068,0.9290033,0.883549984,1.546477849,0.297772298,0.339764146,0.461369947,6.47751578,8.824707075,2.60786909,3.056428289,3.172423412,3.13385122,2.347490803,2.661057382
RSPH3,1.010237904,0.71294095,3.392449817,2.98362772,2.52248584,0.36927209,0.169192019,0.174323464,0.463509294,0.43329392,0.30414883,0.456889511,1.764018195,1.853903284,2.446801187,2.196183726,2.041862414,2.3601862,2.070791211,2.09411787
ENSSSCG00000053023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000060777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000052920,0.118689991,0.09351354,0.271581542,0.096377291,0.310513352,0.07339522,0.14945783,0.20314934,0.263373744,0.014884935,9.40E-03,0.051795194,0.016527074,0.052107619,0.0254998,0.064873468,0.023209427,0.03274361,0.012233895,0.039107874
ENSSSCG00000046349,0.063436482,0.113050842,0.015850012,0.069907741,0.073331474,0.23463973,0.227660938,0.25962613,0.19010297,0.058782906,0.015915502,0.063754978,0.177155912,0.152331419,0.107895696,0.20495628,0.243547369,0.11875369,0.158744497,0.139734176
EZR,228.5372906,210.4431255,111.216515,115.2960206,99.58529257,125.922518,87.25598006,141.9408116,102.9536371,127.3544464,143.014926,132.9014568,414.8520737,444.1363547,507.3827708,602.7321047,560.0599677,491.783419,487.3340857,477.9981365
SYTL3,1.393079466,0.457427998,0.838656468,0.991224899,0.646686318,0.30071581,0.2755622,0.240239795,0.469271661,0,0.033024379,0.033072608,0.116082734,0.166360499,0.246269787,0.182263109,0.285281839,0.3860451,0.279267105,0.228904655
DYNLT1,6.472908728,6.481497,7.484152141,7.272677645,6.634106871,3.05626052,2.52812472,3.195709881,3.785770047,9.724560787,9.920090164,9.405178422,6.23291542,5.618608778,10.27115574,10.46538865,9.812512213,9.71282857,9.785249784,9.898616633
TMEM181,7.442599187,5.011310207,8.319604368,8.207774264,8.092292349,3.27740437,4.335537997,4.169944832,3.631436363,4.335021281,3.730470038,4.707500587,10.12594157,10.24065931,13.64206001,12.90430563,13.71385211,12.0547413,12.72731674,11.92981927
ENSSSCG00000061525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000031776,1.911823327,0.955256384,3.053589015,2.087161352,3.077524889,2.65909362,4.194708856,3.053514954,3.533928266,0.879874729,0.813620445,1.01009337,1.197544835,0.840047255,1.22775123,1.03291793,1.115262697,1.44495974,1.347190367,1.336083629
ENSSSCG00000058060,0.011631638,0,0.087187183,0.102545606,0.040337917,0.12147745,0.187846382,0.177552815,0.122600679,9.24E-03,0.052528456,0.026302584,0.010257821,0,0,8.05E-03,0,0,0,0
GTF2H5,7.170748232,6.54318275,3.530773618,3.730973392,3.767845797,4.77665794,3.496657337,5.861627622,5.423835309,13.51212934,13.89655375,13.8534457,9.086997038,9.37638584,10.72991754,11.41409598,10.31306946,11.8884452,10.81731107,10.64884914
SERAC1,4.29923984,2.42003547,1.536977565,1.40162502,1.598848348,2.79046757,2.357467448,3.854710433,2.73456228,2.796317422,2.613466015,2.839642379,1.897859834,1.562239306,1.579269236,1.546846611,1.530852767,2.12929214,1.935233588,1.792991874
SYNJ2,2.495770616,2.1749681,2.8273508,4.017553637,3.741021343,3.71302629,3.816680915,3.783977375,2.730261649,0.892554878,0.904818825,1.132675271,10.27898815,9.859217092,8.261669931,9.09789075,8.868180414,11.9240625,11.26542349,11.20413032
SNX9,6.459285578,10.39521313,10.64972782,11.17263856,10.59447284,5.84769763,7.058194471,4.056984534,6.28325597,9.905502403,10.32077049,10.71595863,9.381812446,10.33168225,10.2389175,10.15834686,10.55748957,12.6779652,12.42952591,12.12800352
ENSSSCG00000046713,0,0.05398678,0,0.018546689,0,0,0.050332487,0.022339273,0.010434779,0.080204111,0.050669042,0.01268576,0,0.025524559,0,0,0,0,0,0.011706886
ZDHHC14,0.289426433,1.083158975,6.291409434,4.561003548,5.141255532,0.5919426,1.015611918,0.813166536,1.363813084,1.739434066,2.149369831,2.276132573,2.356735901,1.785068198,1.699971839,2.03719283,1.670347265,2.65125204,2.311351562,2.442752807
ENSSSCG00000038527,8.71E-03,9.31E-03,0.300193329,0.230265497,0.171092785,0.17048552,0.067697555,0.14445424,0.129552488,0.048405495,0.058976155,0.118124567,0.061423653,0.033010302,0.029616005,0.054248698,0.045285941,0.03911566,0.022733926,0.042392662
ENSSSCG00000057897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000062775,0,0,0.071982493,0.068032398,0.039646826,0,0,9.11E-03,0,0,0,0,6.05E-03,0,4.67E-03,0,0,0,0,0
ENSSSCG00000050758,0,0,6.95E-03,0.020437247,0.010719081,6.05E-03,0,6.15E-03,0,0,6.98E-03,0,0,0,0,0,0,0,0,0
TMEM242,2.455100408,3.818409675,5.13044345,4.837194056,5.332100604,1.40827711,1.957970654,1.826904653,3.782441666,2.186362748,3.079785771,1.289791271,3.805375547,4.231210491,6.681196966,5.459797631,7.242033442,7.24213613,7.576400479,7.193352098
ENSSSCG00000050351,0,0,0.169998761,0.093724136,0.284019023,0.01233637,0,6.27E-03,5.86E-03,0,0,0,0,0,0,0,0,0,0,0
ARID1B,4.175000408,3.066672067,9.997208243,8.299299853,10.9816977,2.23423496,3.772803335,2.484682755,2.990635491,1.170840806,1.268022969,1.363099717,4.560354549,4.456162334,3.972940073,3.663450777,3.658733209,3.96726639,3.792511112,4.059752173
ENSSSCG00000051789,0,0,0.02940144,0.118870945,0.022671391,0.9345112,1.208265165,0.644304085,0.370876874,0.163561589,0.154995342,0.170004715,0.051887448,0.037180473,0,0,0,0,0,0.013642314
ENSSSCG00000056648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000061773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssc-mir-9857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000057033,0,5.06E-03,0,0,0,0.19447909,0.257416953,0.28876479,0.111425408,3.76E-03,0,0,4.17E-03,3.59E-03,0,3.27E-03,0,0,0,0
ssc-mir-9787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000047964,0.069312906,0,0,0,0,0.11310685,0.082916753,0.184006404,0.010743782,0,0,0,0,0,0,0,0,0,0.045247763,0.024107119
ENSSSCG00000054035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000051971,0.052804105,0.014115415,0,0,0,0.13786768,0.031583908,0.078851334,0.024554552,0,0,0,0.023283695,0.040041998,0.080830494,0.073116105,0.068665668,0,8.62E-03,0.036730673
ENSSSCG00000054849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000061397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX3,0.194776167,0.05785212,0.016222025,0.023849511,0,0.01412629,0.02588937,0.035908078,0.046963929,0,8.15E-03,0,0.095428373,0.155906765,0.066256859,0.097391718,0.064326098,0.04051365,0.021191787,0.037635225
TFB1M,2.980737861,2.735682727,3.556212173,3.668035385,3.416967327,2.25367943,2.094883296,1.747459996,2.556546485,3.22571112,3.234380731,3.772713856,3.493956038,3.569437656,4.53745001,4.780823337,4.512895873,4.25007658,3.980861245,4.181374858
CLDN20,0.081796682,0.262387358,0.919684156,0.585915819,0.520055511,0.37373909,0.24462671,0.325721013,0.456437443,0.259872817,0.277045245,0.21579432,0.144271283,0.155068557,0.055649429,0.11326117,0.151953115,0.24499865,0.266986128,0.170693955
TIAM2,7.832022379,4.321315021,0.961856779,1.024014552,1.227617927,5.13146546,6.140260854,5.418210369,4.723378978,0.872772086,0.926975752,0.87274091,7.771977224,5.995042098,8.248523985,7.546389184,8.302252688,14.1093927,12.79638758,13.17876479
ENSSSCG00000054741,0.091582741,0.146889537,0.102971409,0.050462623,0.079401047,0.34372909,0.260198884,0.379885304,0.184544058,0,0,0,0.080765865,0.034724155,0.031153631,0,0.017013261,0.05143313,0.029892804,0.015926298
ENSSSCG00000055261,0.065041038,0.046364136,0.065003682,0.059729984,0.050124209,0.68634544,0.473322617,0.402886839,0.228516834,0.01721993,0.016318067,0.016341898,0.105158192,0.098642827,0.04424992,0.01501003,0,0.04870297,0.056612092,0.037702263
ENSSSCG00000054787,0.024754609,0.127052519,0.022266353,0.054559735,0.085847699,0.74973685,0.769941275,0.450158523,0.285477633,0.027526392,0.022358354,7.46E-03,0.096055661,0.037543445,0.020209815,0.020566135,0.018394585,0.01482908,9.70E-03,6.89E-03
ENSSSCG00000054439,0.013990053,0.059836382,0.062919082,0.077086007,0.064689037,0.09131753,0.092047126,0.018569842,8.67E-03,0,0,0,0.024675364,0.010608828,0.019035943,9.69E-03,0.020791378,0,0,0
ENSSSCG00000055819,0.089759191,0.038390599,0.080736875,0.138481942,0.10376007,0.29294341,0.032212792,0.071485674,0.011130431,0,0,0.013531477,0.015831539,0.027226196,0.048853304,0.049714638,0.013339601,0.08065442,0.046876149,0.074924072
ENSSSCG00000060766,4.55E-03,0.019468082,6.82E-03,0.015048203,0.015785189,0.12478469,0.062618583,0.081564245,0.059265176,7.23E-03,0.023981578,0.027447543,0.03211304,0.017258191,9.29E-03,0.012605282,0,0,5.94E-03,9.50E-03
ENSSSCG00000058871,0.092917795,0.05677365,0.291859634,0.292561405,0.337578567,0.32058071,0.206429798,0.12920851,0.109734367,0.031629133,0.023312033,0.046692155,0.144376177,0.093947598,0.018061586,0.03676006,0.013151446,0.0132528,0.01733061,0.027700226
ENSSSCG00000052174,0.089495193,0.113093161,0.14636257,0.035863543,0.169289825,0.24959719,0.111926531,0.134991329,0.080710507,0.045234547,0.097978211,0.091988717,0.078924878,0.067865298,0.011070368,0,0,0.03046106,0.021244672,0.016978115
ENSSSCG00000052694,0.054792975,0.136706019,0.082142258,0.087219162,0.070377478,0.26625145,0.145660082,0.177784498,0.090593426,0.183751608,0.215368773,0.229450315,0.118118865,0.087717051,0.012425923,4.22E-03,4.52E-03,0.01823519,0.015897373,0.016939616
SCAF8,8.058372603,5.698252289,5.19983724,4.243320135,6.452367944,9.12851766,9.278836228,9.608736899,8.97275243,7.01214628,6.658808732,7.411545278,9.866648475,9.040003916,8.919412501,9.260081005,9.563391876,9.54482795,9.246163688,8.948109591
CNKSR3,0.403533741,3.986100595,7.086591854,6.162255884,6.775037838,2.20126578,1.821746772,2.25094098,1.388000275,0,0,0,0.050838886,0.036429115,0.026146622,0.053215226,0.035697227,0.0215834,0.025088434,0.02673325
ENSSSCG00000043123,5.01E-03,0.09632378,0.270096715,0.314366372,0.248768181,0.05880068,0.035921501,0.119573898,0.031029739,0,0,3.77E-03,0,0,0,3.47E-03,0,0,0,0
ENSSSCG00000049297,0,0,0,0,0,0.04912176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPCEF1,0.05093776,0.049514583,0.562307574,1.092061542,1.075956079,0.12694958,0.108021437,0.07068607,0.18662232,0,0,0,0,3.51E-03,0.012601788,0.025647941,0.013763886,0.18724444,0.163239,0.151393147
OPRM1,0,0,0,6.09E-03,6.39E-03,0,0,0.018348812,0,0,0,0,0,0,0,0,0,0,0,0
RGS17,0.013809106,0,0.279473797,0.791325381,0.758246664,0.05858868,0.045428296,0.04582415,0.055652156,0.060324459,0.057165073,0.015613243,0,0,0,9.56E-03,0.010261231,0,0,0
ENSSSCG00000054729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTRF1L,2.970280106,2.90933226,4.01097424,5.99685479,5.373178875,2.82679478,2.658155391,2.573244543,2.446123765,2.593306087,2.850001456,3.213070381,2.359512753,2.166430218,2.529851238,3.029694104,2.847388503,2.81839729,2.294250394,2.413119012
ENSSSCG00000060161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO5,0.057612694,0.071080758,0.073081805,0.170934235,0.163936679,0.10992418,0.074221725,0.088237851,0.049459577,0.119679267,0.110075652,0.223813309,0.87546151,0.719178424,0.720605801,0.945019796,0.905610466,0.94577472,0.830308971,0.82308993
ENSSSCG00000055791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIP,0,0,0,0,0,0,0,0.03250918,0,0,0,0,0,0,0,0,0,0,0,0
